,race_id,season,race_number,date,site,cars,winner,start,make/model,len,sfc,miles,purse,pole,cautions,caution_laps,speed,lc,href
82,82,2004,11,2004-05-15,Richmond,43,"Dale Earnhardt, Jr.",4,Chevrolet,0.75,P,300,3790776.0,129.983,9,66,98.253,19,https://www.racing-reference.info/race-results/2004_Chevy_American_Revolution_400/W
83,83,2004,12,2004-05-30,Charlotte,43,Jimmie Johnson,1,Chevrolet,1.5,P,600,4929502.0,187.052,7,37,142.763,16,https://www.racing-reference.info/race-results/2004_Coca-Cola_600/W
84,84,2004,13,2004-06-06,Dover,43,Mark Martin,7,Ford,1.0,P,400,4286034.0,161.522,11,90,97.042,13,https://www.racing-reference.info/race-results/2004_MBNA_America_400_A_Salute_To_Heroes/W
85,85,2004,14,2004-06-13,Pocono,43,Jimmie Johnson,5,Chevrolet,2.5,P,500,3644659.0,172.533,11,57,112.129,30,https://www.racing-reference.info/race-results/2004_Pocono_500/W
86,86,2004,15,2004-06-20,Michigan,43,Ryan Newman,4,Dodge,2.0,P,400,3890103.0,190.865,9,33,139.292,17,https://www.racing-reference.info/race-results/2004_DHL_400/W
87,87,2004,16,2004-06-27,Sonoma,43,Jeff Gordon,1,Chevrolet,1.99,R,219,4117395.0,94.303,6,13,77.456,9,https://www.racing-reference.info/race-results/2004_Dodge_Save_Mart_350/W
88,88,2004,17,2004-07-03,Daytona,43,Jeff Gordon,1,Chevrolet,2.5,P,400,4617644.0,188.66,5,25,145.117,21,https://www.racing-reference.info/race-results/2004_Pepsi_400/W
89,89,2004,18,2004-07-11,Chicago,43,Tony Stewart,10,Chevrolet,1.5,P,401,4513082.0,186.942,9,43,129.507,20,https://www.racing-reference.info/race-results/2004_Tropicana_400_Presented_by_Meijer/W
90,90,2004,19,2004-07-25,Loudon,43,Kurt Busch,32,Ford,1.058,P,317,3951269.0,132.36,12,62,97.862,4,https://www.racing-reference.info/race-results/2004_Siemens_300/W
91,91,2004,20,2004-08-01,Pocono,43,Jimmie Johnson,14,Chevrolet,2.5,P,500,3694382.0,171.72,9,35,126.271,16,https://www.racing-reference.info/race-results/2004_Pennsylvania_500/W
92,92,2004,21,2004-08-08,Indianapolis,43,Jeff Gordon,11,Chevrolet,2.5,P,403,7349649.0,186.293,13,47,115.037,9,https://www.racing-reference.info/race-results/2004_Brickyard_400/W
93,93,2004,22,2004-08-15,Watkins Glen,43,Tony Stewart,4,Chevrolet,2.45,R,221,3548594.0,,5,11,92.249,13,https://www.racing-reference.info/race-results/2004_Sirius_at_the_Glen/W
94,94,2004,23,2004-08-22,Michigan,43,Greg Biffle,24,Ford,2.0,P,400,3806197.0,,9,33,139.063,25,https://www.racing-reference.info/race-results/2004_GFS_Marketplace_400/W
95,95,2004,24,2004-08-28,Bristol,43,"Dale Earnhardt, Jr.",30,Chevrolet,0.533,P,267,4601132.0,128.52,9,63,88.538,18,https://www.racing-reference.info/race-results/2004_Sharpie_500/W
96,96,2004,25,2004-09-05,Fontana,43,Elliott Sadler,17,Ford,2.0,P,500,4798420.0,187.417,11,51,128.324,29,https://www.racing-reference.info/race-results/2004_Pop_Secret_500/W
97,97,2004,26,2004-09-11,Richmond,43,Jeremy Mayfield,7,Dodge,0.75,P,300,3731483.0,128.7,10,57,98.946,20,https://www.racing-reference.info/race-results/2004_Chevy_Rock_and_Roll_400/W
98,98,2004,27,2004-09-19,Loudon,43,Kurt Busch,7,Ford,1.058,P,317,3950269.0,,7,30,109.753,15,https://www.racing-reference.info/race-results/2004_Sylvania_300/W
99,99,2004,28,2004-09-26,Dover,43,Ryan Newman,2,Dodge,1.0,P,400,3807605.0,159.405,5,38,119.067,13,https://www.racing-reference.info/race-results/2004_MBNA_America_400/W
100,100,2004,29,2004-10-03,Talladega,43,"Dale Earnhardt, Jr.",10,Chevrolet,2.66,P,500,4086291.0,190.749,5,22,156.929,47,https://www.racing-reference.info/race-results/2004_EA_Sports_500/W
101,101,2004,30,2004-10-10,Kansas,43,Joe Nemechek,1,Chevrolet,1.5,P,401,3553992.0,180.156,9,39,128.058,24,https://www.racing-reference.info/race-results/2004_Banquet_400_Presented_by_ConAgra_Foods/W
