,date,tavg,tmin,tmax,prcp,snow,wspd,pres,site
232,2010-08-08,20.6,11.1,29.4,0.0,0.0,7.2,1015.4,Watkins Glen
233,2010-08-15,24.1,18.9,29.4,0.0,0.0,8.6,1011.3,Michigan
234,2010-08-21,23.3,19.0,28.0,1.0,0.0,4.5,1016.5604819277108,Bristol
235,2010-09-05,20.6,11.7,29.4,0.0,0.0,2.6,1015.8,Atlanta
236,2010-09-11,20.2,12.2,27.8,0.3,0.0,7.6,1016.4,Richmond
237,2010-09-19,23.9,16.7,31.7,0.0,0.0,2.5,1019.4,Loudon
238,2010-10-03,10.6,6.1,15.6,0.0,0.0,6.0,1029.2,Kansas
239,2010-10-10,25.0,14.4,36.1,0.0,0.0,7.9,1012.9,Fontana
240,2010-10-16,13.6,3.9,22.2,0.0,0.0,6.8,1019.3,Charlotte
241,2010-10-24,16.1,8.0,26.0,0.0,0.0,3.2,1016.5604819277108,Martinsville
242,2010-11-07,12.9,5.6,21.1,0.0,0.0,12.2,1025.2,Fort Worth
243,2010-11-14,16.5,9.4,22.8,0.0,0.0,6.5,1012.6,Phoenix
244,2010-11-21,23.6,19.3,27.0,0.0,0.0,13.3,1023.1,Homestead
245,2011-02-20,17.6,11.1,25.0,0.0,0.0,7.9,1016.5604819277108,Daytona
246,2011-02-27,9.3,6.1,13.3,6.6,0.0,10.1,1013.4,Phoenix
247,2011-03-06,14.4,8.3,20.6,0.0,0.0,5.1,1010.2,Las Vegas
248,2011-03-20,,8.9,20.0,0.0,0.0,9.4,1016.5604819277108,Bristol
249,2011-03-27,13.4,10.6,18.3,0.0,0.0,5.1,1014.9,Fontana
250,2011-04-03,11.1,-2.0,22.0,0.0,0.0,4.8,1016.5604819277108,Martinsville
251,2011-04-09,26.4,20.0,32.2,0.0,0.0,31.7,1007.5,Fort Worth
252,2011-04-30,15.0,6.7,21.7,0.0,0.0,7.2,1020.2,Richmond
253,2011-05-07,17.6,13.0,25.0,0.0,0.0,2.8,1016.5604819277108,Darlington
254,2011-05-29,25.4,20.6,31.1,0.0,0.0,7.2,1018.9,Charlotte
255,2011-06-05,29.6,25.6,34.4,0.0,0.0,13.7,1016.2,Kansas
256,2011-06-19,21.2,15.0,26.1,0.0,0.0,10.2,1010.1,Michigan
257,2011-06-26,17.1,8.9,28.3,0.0,0.0,6.9,1010.4,Sonoma
258,2011-07-02,26.2,22.2,30.0,0.0,0.0,10.1,1016.9,Daytona
259,2011-07-17,25.0,20.6,30.6,0.0,0.0,4.7,1021.0,Loudon
260,2011-07-31,29.2,23.9,34.4,0.0,0.0,8.3,1017.7,Indianapolis
261,2011-08-15,20.3,16.7,24.4,0.0,0.0,10.1,1016.5604819277108,Watkins Glen
262,2011-08-21,19.6,14.4,24.4,0.0,0.0,8.7,1013.5,Michigan
263,2011-08-27,22.0,19.0,24.0,0.0,0.0,7.4,1016.5604819277108,Bristol
264,2011-09-06,18.4,15.6,24.4,1.5,0.0,16.1,1004.3,Atlanta
265,2011-09-10,24.2,18.3,30.0,0.0,0.0,5.8,1013.8,Richmond
266,2011-09-19,18.1,13.3,20.0,9.7,0.0,10.4,1013.8,Chicago
267,2011-09-25,20.2,12.2,28.3,0.0,0.0,6.5,1013.4,Loudon
268,2011-10-09,23.4,19.4,28.3,0.0,0.0,18.5,1019.0,Kansas
269,2011-10-15,16.9,6.7,24.4,0.0,0.0,8.6,1014.0,Charlotte
270,2011-10-30,5.5,-2.0,15.0,0.0,0.0,2.1,1016.5604819277108,Martinsville
271,2011-11-06,20.7,16.7,25.6,0.0,0.0,23.0,1013.3,Fort Worth
